customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,internet_service,contract,payment_method,monthly_charges,total_charges,actual_churn,churn_probability,predicted_churn,risk_level,prediction_date
8091-TTVAX,Male,0,Yes,No,58,Yes,Fiber optic,One year,Credit card (automatic),100.35,5681.1,0,0.4393362128705413,0,MEDIUM RISK,2026-08-30 13:02:06
0280-XJGEX,Male,0,No,No,49,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),103.7,5036.3,1,0.7338052506356436,1,HIGH RISK,2026-08-30 13:02:06
5129-JLPIS,Male,0,No,No,25,Yes,Fiber optic,Month-to-month,Electronic check,105.5,2686.05,0,0.7079997592614315,1,HIGH RISK,2026-08-30 13:02:06
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Fiber optic,Two year,Credit card (automatic),113.25,7895.15,0,0.08865976979868423,0,LOW RISK,2026-08-30 13:02:06
8191-XWSZG,Female,0,No,No,52,Yes,No,One year,Mailed check,20.65,1022.95,0,0.05267315280510259,0,LOW RISK,2026-08-30 13:02:06
9959-WOFKT,Male,0,No,Yes,71,Yes,Fiber optic,Two year,Bank transfer (automatic),106.7,7382.25,0,0.10533270989009254,0,LOW RISK,2026-08-30 13:02:06
4190-MFLUW,Female,0,Yes,Yes,10,Yes,DSL,Month-to-month,Credit card (automatic),55.2,528.35,1,0.407721180406246,0,MEDIUM RISK,2026-08-30 13:02:06
4183-MYFRB,Female,0,No,No,21,Yes,Fiber optic,Month-to-month,Electronic check,90.05,1862.9,0,0.7279256409775703,1,HIGH RISK,2026-08-30 13:02:06
8779-QRDMV,Male,1,No,No,1,No,DSL,Month-to-month,Electronic check,39.65,39.65,1,0.8840534828657224,1,HIGH RISK,2026-08-30 13:02:06
1680-VDCWW,Male,0,Yes,No,12,Yes,No,One year,Bank transfer (automatic),19.8,202.25,0,0.16579798549067182,0,LOW RISK,2026-08-30 13:02:06
1066-JKSGK,Male,0,No,No,1,Yes,No,Month-to-month,Mailed check,20.15,20.15,1,0.3956985485919376,0,LOW RISK,2026-08-30 13:02:06
3638-WEABW,Female,0,Yes,No,58,Yes,DSL,Two year,Credit card (automatic),59.9,3505.1,0,0.06874540130999714,0,LOW RISK,2026-08-30 13:02:06
6322-HRPFA,Male,0,Yes,Yes,49,Yes,DSL,Month-to-month,Credit card (automatic),59.6,2970.3,0,0.12597663662415265,0,LOW RISK,2026-08-30 13:02:06
6865-JZNKO,Female,0,No,No,30,Yes,DSL,Month-to-month,Bank transfer (automatic),55.3,1530.6,0,0.257658888286476,0,LOW RISK,2026-08-30 13:02:06
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Fiber optic,Month-to-month,Electronic check,99.35,4749.15,1,0.6848813282115201,1,MEDIUM RISK,2026-08-30 13:02:06
8665-UTDHZ,Male,0,Yes,Yes,1,No,DSL,Month-to-month,Electronic check,30.2,30.2,1,0.7067775980109638,1,HIGH RISK,2026-08-30 13:02:06
5248-YGIJN,Male,0,Yes,No,72,Yes,DSL,Two year,Credit card (automatic),90.25,6369.45,0,0.04408079241822543,0,LOW RISK,2026-08-30 13:02:06
8773-HHUOZ,Female,0,No,Yes,17,Yes,DSL,Month-to-month,Mailed check,64.7,1093.1,1,0.5518523613992578,1,MEDIUM RISK,2026-08-30 13:02:06
3841-NFECX,Female,1,Yes,No,71,Yes,Fiber optic,Two year,Credit card (automatic),96.35,6766.95,0,0.08110097883234868,0,LOW RISK,2026-08-30 13:02:06
4929-XIHVW,Male,1,Yes,No,2,Yes,Fiber optic,Month-to-month,Credit card (automatic),95.5,181.65,0,0.909893422715425,1,HIGH RISK,2026-08-30 13:02:06
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,DSL,One year,Mailed check,66.15,1874.45,0,0.06140218741830255,0,LOW RISK,2026-08-30 13:02:06
7310-EGVHZ,Male,0,No,No,1,Yes,No,Month-to-month,Bank transfer (automatic),20.2,20.2,0,0.3845359188491334,0,LOW RISK,2026-08-30 13:02:06
3413-BMNZE,Male,1,No,No,1,Yes,DSL,Month-to-month,Bank transfer (automatic),45.25,45.25,0,0.6409740870014943,1,MEDIUM RISK,2026-08-30 13:02:06
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Fiber optic,Two year,Bank transfer (automatic),99.9,7251.7,0,0.053369690865373756,0,LOW RISK,2026-08-30 13:02:06
6047-YHPVI,Male,0,No,No,5,Yes,Fiber optic,Month-to-month,Electronic check,69.7,316.9,1,0.8527246306170971,1,HIGH RISK,2026-08-30 13:02:06
6572-ADKRS,Female,0,No,No,46,Yes,Fiber optic,Month-to-month,Credit card (automatic),74.8,3548.3,0,0.43957099323579335,0,MEDIUM RISK,2026-08-30 13:02:06
5380-WJKOV,Male,0,No,No,34,Yes,Fiber optic,Month-to-month,Electronic check,106.35,3549.25,1,0.7978101887684634,1,HIGH RISK,2026-08-30 13:02:06
8168-UQWWF,Female,0,No,No,11,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),97.85,1105.4,1,0.8948676282686263,1,HIGH RISK,2026-08-30 13:02:06
8865-TNMNX,Male,0,Yes,Yes,10,Yes,DSL,One year,Mailed check,49.55,475.7,0,0.2851629857033787,0,LOW RISK,2026-08-30 13:02:06
9489-DEDVP,Female,0,Yes,Yes,70,Yes,DSL,Two year,Credit card (automatic),69.2,4872.35,0,0.03456476749998298,0,LOW RISK,2026-08-30 13:02:06
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,One year,Mailed check,20.75,418.25,0,0.08298341310017762,0,LOW RISK,2026-08-30 13:02:06
4671-VJLCL,Female,0,No,No,63,Yes,DSL,Two year,Credit card (automatic),79.85,4861.45,0,0.040322623742217414,0,LOW RISK,2026-08-30 13:02:06
4080-IIARD,Female,0,Yes,No,13,Yes,DSL,Month-to-month,Electronic check,76.2,981.45,0,0.4518656078704758,0,MEDIUM RISK,2026-08-30 13:02:06
3714-NTNFO,Female,0,No,No,49,Yes,Fiber optic,Month-to-month,Electronic check,84.5,3906.7,0,0.7538188820506071,1,HIGH RISK,2026-08-30 13:02:06
5948-UJZLF,Male,0,No,No,2,Yes,DSL,Month-to-month,Mailed check,49.25,97.0,0,0.5775673159353687,1,MEDIUM RISK,2026-08-30 13:02:06
7760-OYPDY,Female,0,No,No,2,Yes,Fiber optic,Month-to-month,Electronic check,80.65,144.15,1,0.891817458542899,1,HIGH RISK,2026-08-30 13:02:06
7639-LIAYI,Male,0,No,No,52,Yes,DSL,Two year,Credit card (automatic),79.75,4217.8,0,0.09239996818219763,0,LOW RISK,2026-08-30 13:02:06
2954-PIBKO,Female,0,Yes,Yes,69,Yes,DSL,Two year,Credit card (automatic),64.15,4254.1,0,0.03082347790614858,0,LOW RISK,2026-08-30 13:02:06
8012-SOUDQ,Female,1,No,No,43,Yes,Fiber optic,Month-to-month,Electronic check,90.25,3838.75,0,0.7021713592991976,1,HIGH RISK,2026-08-30 13:02:06
9420-LOJKX,Female,0,No,No,15,Yes,Fiber optic,Month-to-month,Credit card (automatic),99.1,1426.4,1,0.6803274951331726,1,MEDIUM RISK,2026-08-30 13:02:06
6575-SUVOI,Female,1,Yes,No,25,Yes,DSL,Month-to-month,Credit card (automatic),69.5,1752.65,0,0.38456251736280234,0,LOW RISK,2026-08-30 13:02:06
7495-OOKFY,Female,1,Yes,No,8,Yes,Fiber optic,Month-to-month,Credit card (automatic),80.65,633.3,1,0.8363067504834341,1,HIGH RISK,2026-08-30 13:02:06
4667-QONEA,Female,1,Yes,Yes,60,Yes,DSL,One year,Credit card (automatic),74.85,4456.35,0,0.07125582225526038,0,LOW RISK,2026-08-30 13:02:06
1658-BYGOY,Male,1,No,No,18,Yes,Fiber optic,Month-to-month,Electronic check,95.45,1752.55,1,0.8813907993721203,1,HIGH RISK,2026-08-30 13:02:06
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Fiber optic,One year,Credit card (automatic),99.65,6311.2,0,0.34039729558782783,0,LOW RISK,2026-08-30 13:02:06
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Fiber optic,One year,Electronic check,108.45,7076.35,0,0.4490546450282023,0,MEDIUM RISK,2026-08-30 13:02:06
3957-SQXML,Female,0,Yes,Yes,34,Yes,No,Two year,Credit card (automatic),24.95,894.3,0,0.03427584237399545,0,LOW RISK,2026-08-30 13:02:06
5954-BDFSG,Female,0,No,No,72,Yes,Fiber optic,Two year,Credit card (automatic),107.5,7853.7,0,0.1815196566266534,0,LOW RISK,2026-08-30 13:02:06
0434-CSFON,Female,0,Yes,No,47,Yes,Fiber optic,Month-to-month,Electronic check,100.5,4707.1,0,0.7448177542957521,1,HIGH RISK,2026-08-30 13:02:06
1215-FIGMP,Male,0,No,No,60,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),89.9,5450.7,0,0.5623438349556078,1,MEDIUM RISK,2026-08-30 13:02:06
0526-SXDJP,Male,0,Yes,No,72,No,DSL,Two year,Bank transfer (automatic),42.1,2962.0,0,0.02654495878611033,0,LOW RISK,2026-08-30 13:02:06
0557-ASKVU,Female,0,Yes,Yes,18,Yes,DSL,One year,Credit card (automatic),54.4,957.1,0,0.19054893373130571,0,LOW RISK,2026-08-30 13:02:06
5698-BQJOH,Female,0,No,No,9,Yes,Fiber optic,Month-to-month,Electronic check,94.4,857.25,1,0.9014232555989923,1,HIGH RISK,2026-08-30 13:02:06
5122-CYFXA,Female,0,No,No,3,Yes,DSL,Month-to-month,Electronic check,75.3,244.1,0,0.7221362437829757,1,HIGH RISK,2026-08-30 13:02:06
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Fiber optic,One year,Electronic check,78.9,3650.35,0,0.3946072822088065,0,LOW RISK,2026-08-30 13:02:06
3410-YOQBQ,Female,0,No,No,31,Yes,DSL,Two year,Mailed check,79.2,2497.2,0,0.07884643474556581,0,LOW RISK,2026-08-30 13:02:06
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,Two year,Bank transfer (automatic),20.15,930.9,0,0.02145112215240248,0,LOW RISK,2026-08-30 13:02:06
7410-OIEDU,Male,0,No,No,10,Yes,Fiber optic,Month-to-month,Mailed check,79.85,887.35,0,0.7197299747857562,1,HIGH RISK,2026-08-30 13:02:06
2273-QCKXA,Male,0,No,No,1,Yes,DSL,Month-to-month,Mailed check,49.05,49.05,0,0.5497488971329456,1,MEDIUM RISK,2026-08-30 13:02:06
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,One year,Electronic check,20.4,1090.65,0,0.08657120855460704,0,LOW RISK,2026-08-30 13:02:06
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Fiber optic,Two year,Bank transfer (automatic),111.6,7099.0,0,0.16693940949783442,0,LOW RISK,2026-08-30 13:02:06
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,No,Two year,Bank transfer (automatic),24.25,1424.6,0,0.027006461059574802,0,LOW RISK,2026-08-30 13:02:06
5630-AHZIL,Female,0,No,Yes,3,Yes,DSL,Month-to-month,Bank transfer (automatic),64.5,177.4,0,0.5266036502004917,1,MEDIUM RISK,2026-08-30 13:02:06
2673-CXQEU,Female,1,No,No,56,Yes,Fiber optic,One year,Electronic check,110.5,6139.5,0,0.45772137482608916,0,MEDIUM RISK,2026-08-30 13:02:06
6416-JNVRK,Female,0,No,No,46,Yes,DSL,One year,Credit card (automatic),55.65,2688.85,0,0.13674705951822833,0,LOW RISK,2026-08-30 13:02:06
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,DSL,Month-to-month,Mailed check,54.65,482.25,0,0.3853417356060042,0,LOW RISK,2026-08-30 13:02:06
0191-ZHSKZ,Male,1,No,No,30,Yes,DSL,Month-to-month,Electronic check,74.75,2111.3,0,0.4633717790734917,0,MEDIUM RISK,2026-08-30 13:02:06
3887-PBQAO,Female,0,Yes,Yes,45,Yes,No,One year,Credit card (automatic),25.9,1216.6,0,0.06627324555205094,0,LOW RISK,2026-08-30 13:02:06
5919-TMRGD,Female,0,No,Yes,1,Yes,Fiber optic,Month-to-month,Electronic check,79.35,79.35,1,0.8796149137252688,1,HIGH RISK,2026-08-30 13:02:06
8108-UXRQN,Female,0,Yes,Yes,11,No,DSL,Month-to-month,Electronic check,50.55,565.35,0,0.6993141778912388,1,MEDIUM RISK,2026-08-30 13:02:06
9191-MYQKX,Female,0,Yes,No,7,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),75.15,496.9,1,0.7871895557459228,1,HIGH RISK,2026-08-30 13:02:06
9919-YLNNG,Female,0,No,No,42,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),103.8,4327.5,0,0.532938260708113,1,MEDIUM RISK,2026-08-30 13:02:06
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,Two year,Bank transfer (automatic),20.15,973.35,0,0.03857355013669164,0,LOW RISK,2026-08-30 13:02:06
4445-ZJNMU,Male,0,No,No,9,Yes,Fiber optic,Month-to-month,Credit card (automatic),99.3,918.75,0,0.8911470980368734,1,HIGH RISK,2026-08-30 13:02:06
4808-YNLEU,Female,0,Yes,No,35,Yes,DSL,One year,Bank transfer (automatic),62.15,2215.45,0,0.1789805799545831,0,LOW RISK,2026-08-30 13:02:06
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,Two year,Bank transfer (automatic),20.65,1057.0,0,0.014199587035540653,0,LOW RISK,2026-08-30 13:02:06
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,Two year,Mailed check,19.95,927.1,0,0.02261986193051354,0,LOW RISK,2026-08-30 13:02:06
3016-KSVCP,Male,0,Yes,No,29,No,DSL,Month-to-month,Mailed check,33.75,1009.25,0,0.4817142317695757,0,MEDIUM RISK,2026-08-30 13:02:06
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),82.05,2570.2,0,0.409769997115527,0,MEDIUM RISK,2026-08-30 13:02:06
2424-WVHPL,Male,1,No,No,1,Yes,Fiber optic,Month-to-month,Electronic check,74.7,74.7,0,0.8108914025226122,1,HIGH RISK,2026-08-30 13:02:06
7233-PAHHL,Male,0,Yes,Yes,66,Yes,DSL,Two year,Mailed check,84.0,5714.25,0,0.052185640524268266,0,LOW RISK,2026-08-30 13:02:06
6067-NGCEU,Female,0,No,No,65,Yes,Fiber optic,Month-to-month,Credit card (automatic),111.05,7107.0,0,0.5175026867612241,1,MEDIUM RISK,2026-08-30 13:02:06
9848-JQJTX,Male,0,No,No,72,Yes,Fiber optic,Two year,Bank transfer (automatic),100.9,7459.05,0,0.22257472441214438,0,LOW RISK,2026-08-30 13:02:06
8637-XJIVR,Female,0,No,No,12,Yes,Fiber optic,Month-to-month,Electronic check,78.95,927.35,1,0.8115705468415774,1,HIGH RISK,2026-08-30 13:02:06
9803-FTJCG,Male,0,Yes,Yes,71,Yes,DSL,One year,Credit card (automatic),66.85,4748.7,0,0.03957521747284948,0,LOW RISK,2026-08-30 13:02:06
0278-YXOOG,Male,0,No,No,5,Yes,No,Month-to-month,Mailed check,21.05,113.85,1,0.35666642909491136,0,LOW RISK,2026-08-30 13:02:06
3212-KXOCR,Male,0,No,No,52,Yes,No,Two year,Bank transfer (automatic),21.0,1107.2,0,0.024184849550302465,0,LOW RISK,2026-08-30 13:02:06
4598-XLKNJ,Female,1,Yes,No,25,Yes,Fiber optic,Month-to-month,Electronic check,98.5,2514.5,1,0.8308908841023791,1,HIGH RISK,2026-08-30 13:02:06
6380-ARCEH,Male,0,No,No,1,Yes,No,Month-to-month,Mailed check,20.2,20.2,0,0.3954809645701498,0,LOW RISK,2026-08-30 13:02:06
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,Month-to-month,Electronic check,19.45,19.45,0,0.43456599659856504,0,MEDIUM RISK,2026-08-30 13:02:06
7123-WQUHX,Male,0,No,No,38,Yes,Fiber optic,One year,Bank transfer (automatic),95.0,3605.6,0,0.3287687322155007,0,LOW RISK,2026-08-30 13:02:06
5386-THSLQ,Female,1,Yes,No,66,No,DSL,One year,Bank transfer (automatic),45.55,3027.25,0,0.15025155931912068,0,LOW RISK,2026-08-30 13:02:06
3192-NQECA,Male,0,Yes,No,68,Yes,Fiber optic,Two year,Bank transfer (automatic),110.0,7611.85,1,0.19619360989070336,0,LOW RISK,2026-08-30 13:02:06
6180-YBIQI,Male,0,No,No,5,No,DSL,Month-to-month,Mailed check,24.3,100.2,0,0.6636205385650916,1,MEDIUM RISK,2026-08-30 13:02:06
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Fiber optic,One year,Electronic check,104.15,7303.05,0,0.3239179308684113,0,LOW RISK,2026-08-30 13:02:06
9750-BOOHV,Female,0,No,No,32,No,DSL,One year,Mailed check,30.15,927.65,0,0.15433328543783337,0,LOW RISK,2026-08-30 13:02:06
8597-CWYHH,Male,0,No,No,43,Yes,Fiber optic,One year,Mailed check,94.35,3921.3,0,0.4356202838740053,0,MEDIUM RISK,2026-08-30 13:02:06
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,Two year,Credit card (automatic),19.4,1363.25,0,0.009862498506209967,0,LOW RISK,2026-08-30 13:02:06
0486-HECZI,Male,0,Yes,No,55,Yes,Fiber optic,Month-to-month,Electronic check,96.75,5238.9,1,0.6124592358210409,1,MEDIUM RISK,2026-08-30 13:02:06
4549-ZDQYY,Female,0,No,No,52,Yes,DSL,One year,Credit card (automatic),57.95,3042.25,0,0.07738487527283835,0,LOW RISK,2026-08-30 13:02:06
5712-AHQNN,Female,0,No,No,43,Yes,Fiber optic,Month-to-month,Electronic check,91.65,3954.1,0,0.5960314985089378,1,MEDIUM RISK,2026-08-30 13:02:06
4846-WHAFZ,Female,1,Yes,No,37,Yes,Fiber optic,Month-to-month,Electronic check,76.5,2868.15,1,0.7111821702035382,1,HIGH RISK,2026-08-30 13:02:06
5256-SKJGO,Female,0,Yes,Yes,64,No,DSL,Two year,Electronic check,54.6,3423.5,0,0.11707774767576379,0,LOW RISK,2026-08-30 13:02:06
3071-VBYPO,Male,0,Yes,Yes,3,Yes,Fiber optic,Month-to-month,Electronic check,89.85,248.4,0,0.749803127410276,1,HIGH RISK,2026-08-30 13:02:06
9560-BBZXK,Female,0,No,No,36,No,DSL,Two year,Bank transfer (automatic),31.05,1126.35,0,0.06299492900452817,0,LOW RISK,2026-08-30 13:02:06
5299-RULOA,Female,0,Yes,Yes,10,Yes,Fiber optic,Month-to-month,Electronic check,100.25,1064.65,1,0.8792660356007235,1,HIGH RISK,2026-08-30 13:02:06
8402-OOOHJ,Female,0,No,No,41,Yes,No,Two year,Mailed check,20.65,835.15,0,0.022901152388396694,0,LOW RISK,2026-08-30 13:02:06
9445-ZUEQE,Male,0,Yes,Yes,27,Yes,Fiber optic,Month-to-month,Credit card (automatic),85.2,2151.6,0,0.5292677754091157,1,MEDIUM RISK,2026-08-30 13:02:06
1091-SOZGA,Female,0,Yes,Yes,56,Yes,Fiber optic,One year,Credit card (automatic),99.8,5515.45,0,0.4875330974432196,0,MEDIUM RISK,2026-08-30 13:02:06
2928-HLDBA,Female,0,No,No,6,Yes,No,Month-to-month,Mailed check,20.7,112.75,0,0.3401287994879304,0,LOW RISK,2026-08-30 13:02:06
0404-SWRVG,Male,0,No,No,3,Yes,Fiber optic,Month-to-month,Electronic check,74.4,229.55,1,0.8975510252605414,1,HIGH RISK,2026-08-30 13:02:06
6497-TILVL,Female,0,Yes,Yes,7,Yes,DSL,Month-to-month,Mailed check,50.7,350.35,0,0.41435165227593845,0,MEDIUM RISK,2026-08-30 13:02:06
7219-TLZHO,Female,0,Yes,Yes,4,Yes,No,Month-to-month,Mailed check,20.85,62.9,0,0.3152648716939048,0,LOW RISK,2026-08-30 13:02:06
4622-YNKIJ,Male,0,No,No,33,Yes,Fiber optic,Two year,Electronic check,88.95,3027.65,0,0.22296287686494068,0,LOW RISK,2026-08-30 13:02:06
4412-YLTKF,Female,1,No,No,27,Yes,Fiber optic,Month-to-month,Electronic check,78.05,2135.5,1,0.7829619085342218,1,HIGH RISK,2026-08-30 13:02:06
6734-PSBAW,Male,0,Yes,No,72,Yes,No,Two year,Bank transfer (automatic),23.55,1723.95,0,0.023182739541254542,0,LOW RISK,2026-08-30 13:02:06
3930-ZGWVE,Male,0,No,No,1,Yes,No,Month-to-month,Mailed check,19.75,19.75,0,0.3974407012784392,0,LOW RISK,2026-08-30 13:02:06
2639-UGMAZ,Male,1,No,No,71,No,DSL,One year,Electronic check,56.45,3985.35,0,0.22573613866048065,0,LOW RISK,2026-08-30 13:02:06
2876-GZYZC,Female,0,No,No,13,Yes,Fiber optic,Month-to-month,Electronic check,85.95,1215.65,0,0.8465055831674694,1,HIGH RISK,2026-08-30 13:02:06
6207-WIOLX,Female,0,Yes,Yes,25,No,DSL,Month-to-month,Credit card (automatic),58.6,1502.65,1,0.5098361329631788,1,MEDIUM RISK,2026-08-30 13:02:06
8587-XYZSF,Male,0,No,No,67,Yes,DSL,Two year,Bank transfer (automatic),50.55,3260.1,0,0.02760094818981081,0,LOW RISK,2026-08-30 13:02:06
3091-FYHKI,Male,0,No,No,1,No,DSL,Month-to-month,Electronic check,35.45,35.45,1,0.8634078527327197,1,HIGH RISK,2026-08-30 13:02:06
2372-HWUHI,Male,0,No,No,2,Yes,DSL,Month-to-month,Electronic check,44.35,81.25,1,0.6854648792990246,1,MEDIUM RISK,2026-08-30 13:02:06
7799-LGRDP,Female,0,No,No,43,Yes,No,Two year,Credit card (automatic),25.7,1188.2,0,0.04015641963699559,0,LOW RISK,2026-08-30 13:02:06
7850-VWJUU,Female,0,No,No,23,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),75.0,1778.5,0,0.4867210871082007,0,MEDIUM RISK,2026-08-30 13:02:06
3774-VBNXY,Female,0,Yes,Yes,64,Yes,No,Two year,Mailed check,20.2,1277.75,0,0.013178988052865536,0,LOW RISK,2026-08-30 13:02:06
6217-KDYWC,Male,0,No,Yes,57,Yes,No,Two year,Mailed check,19.6,1170.55,0,0.024432438391414967,0,LOW RISK,2026-08-30 13:02:06
0390-DCFDQ,Female,1,Yes,No,1,Yes,Fiber optic,Month-to-month,Mailed check,70.45,70.45,1,0.8497463649161359,1,HIGH RISK,2026-08-30 13:02:06
3146-MSEGF,Female,1,Yes,Yes,72,Yes,DSL,Two year,Credit card (automatic),88.05,6425.65,0,0.04316532273650816,0,LOW RISK,2026-08-30 13:02:06
4080-OGPJL,Female,0,No,No,8,Yes,DSL,Month-to-month,Electronic check,71.15,563.65,1,0.5382444679280431,1,MEDIUM RISK,2026-08-30 13:02:06
1095-WGNGG,Female,0,Yes,No,61,Yes,Fiber optic,Two year,Bank transfer (automatic),101.05,5971.25,0,0.2677855052335097,0,LOW RISK,2026-08-30 13:02:06
2636-SJDOU,Male,0,No,No,64,Yes,Fiber optic,One year,Credit card (automatic),84.3,5289.05,0,0.2149575296857998,0,LOW RISK,2026-08-30 13:02:06
1131-QQZEB,Male,1,Yes,No,71,Yes,No,Two year,Bank transfer (automatic),23.95,1756.2,0,0.0200552707313216,0,LOW RISK,2026-08-30 13:02:06
5716-EZXZN,Female,0,Yes,Yes,65,Yes,Fiber optic,Two year,Credit card (automatic),99.05,6416.7,0,0.09524866712623338,0,LOW RISK,2026-08-30 13:02:06
6837-BJYDQ,Male,0,No,No,3,Yes,No,One year,Mailed check,19.6,61.35,0,0.22577204416461458,0,LOW RISK,2026-08-30 13:02:06
2135-RXIHG,Male,0,No,No,1,Yes,DSL,Month-to-month,Electronic check,45.65,45.65,1,0.7600209383051527,1,HIGH RISK,2026-08-30 13:02:06
6440-DKQGE,Male,0,No,Yes,30,Yes,DSL,One year,Credit card (automatic),64.5,1929.95,0,0.17137908387414633,0,LOW RISK,2026-08-30 13:02:06
3466-BYAVD,Male,0,Yes,Yes,15,Yes,DSL,Month-to-month,Mailed check,69.5,1071.4,0,0.34039272603650345,0,LOW RISK,2026-08-30 13:02:06
3780-YVMFA,Female,0,Yes,Yes,8,Yes,DSL,Month-to-month,Electronic check,68.55,564.35,0,0.677255300093746,1,MEDIUM RISK,2026-08-30 13:02:06
3874-EQOEP,Male,0,No,No,7,Yes,Fiber optic,Month-to-month,Mailed check,95.0,655.5,1,0.8724403501027949,1,HIGH RISK,2026-08-30 13:02:06
1679-JRFBR,Female,0,Yes,Yes,70,Yes,Fiber optic,One year,Credit card (automatic),108.15,7930.55,0,0.28302132274581343,0,LOW RISK,2026-08-30 13:02:06
9073-ZZIAY,Male,0,Yes,Yes,62,Yes,DSL,Two year,Electronic check,86.1,5215.25,0,0.03739758160336596,0,LOW RISK,2026-08-30 13:02:06
3077-RSNTJ,Female,0,Yes,Yes,6,Yes,No,Month-to-month,Mailed check,19.7,113.5,0,0.30637001321608853,0,LOW RISK,2026-08-30 13:02:06
6551-GNYDG,Female,0,Yes,Yes,14,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),80.9,1152.8,0,0.6828739313384729,1,MEDIUM RISK,2026-08-30 13:02:06
9167-APMXZ,Female,0,No,No,22,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),84.15,1821.95,0,0.7231180536756942,1,HIGH RISK,2026-08-30 13:02:06
2749-CTKAJ,Male,0,Yes,Yes,22,Yes,No,One year,Mailed check,20.15,419.9,0,0.07016114521747421,0,LOW RISK,2026-08-30 13:02:06
6371-NZYEG,Male,0,Yes,Yes,16,Yes,DSL,Two year,Mailed check,64.25,1024.0,0,0.09593139048842494,0,LOW RISK,2026-08-30 13:02:06
7554-NEWDD,Male,0,No,No,10,Yes,No,Two year,Bank transfer (automatic),25.7,251.6,0,0.11277460895145297,0,LOW RISK,2026-08-30 13:02:06
