customer_id,churn_probability,risk_level,recommendation_rank,recommendation
6388-TABGU,0.0480281675167952,LOW RISK,3,Focus on early customer engagement because short tenure may increase churn risk.
6388-TABGU,0.0480281675167952,LOW RISK,4,Promote a longer-term contract with clear financial benefits.
9763-GRSKD,0.3507363573924371,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
9763-GRSKD,0.3507363573924371,LOW RISK,2,Offer a discount or incentive for switching to a one-year or two-year contract.
9763-GRSKD,0.3507363573924371,LOW RISK,3,Focus on early customer engagement because short tenure may increase churn risk.
9763-GRSKD,0.3507363573924371,LOW RISK,4,Evaluate whether the monthly cost is creating dissatisfaction.
9763-GRSKD,0.3507363573924371,LOW RISK,5,Promote a longer-term contract with clear financial benefits.
7469-LKBCI,0.0499206216907559,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
7469-LKBCI,0.0499206216907559,LOW RISK,2,Evaluate whether the monthly cost is creating dissatisfaction.
7469-LKBCI,0.0499206216907559,LOW RISK,3,Focus on early customer engagement because short tenure may increase churn risk.
8091-TTVAX,0.4393362128705413,MEDIUM RISK,1,Monitor this customer closely and send a personalized retention offer.
8091-TTVAX,0.4393362128705413,MEDIUM RISK,2,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
8091-TTVAX,0.4393362128705413,MEDIUM RISK,3,Focus on early customer engagement because short tenure may increase churn risk.
8091-TTVAX,0.4393362128705413,MEDIUM RISK,4,Promote a longer-term contract with clear financial benefits.
0280-XJGEX,0.7338052506356436,HIGH RISK,1,Prioritize immediate retention outreach because this customer has a high churn risk.
0280-XJGEX,0.7338052506356436,HIGH RISK,2,Assign the customer to a proactive customer success or support representative.
0280-XJGEX,0.7338052506356436,HIGH RISK,3,Offer a discount or incentive for switching to a one-year or two-year contract.
0280-XJGEX,0.7338052506356436,HIGH RISK,4,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
0280-XJGEX,0.7338052506356436,HIGH RISK,5,Promote a longer-term contract with clear financial benefits.
0280-XJGEX,0.7338052506356436,HIGH RISK,6,Focus on early customer engagement because short tenure may increase churn risk.
5129-JLPIS,0.7079997592614315,HIGH RISK,1,Prioritize immediate retention outreach because this customer has a high churn risk.
5129-JLPIS,0.7079997592614315,HIGH RISK,2,Assign the customer to a proactive customer success or support representative.
5129-JLPIS,0.7079997592614315,HIGH RISK,3,Offer a discount or incentive for switching to a one-year or two-year contract.
5129-JLPIS,0.7079997592614315,HIGH RISK,4,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
5129-JLPIS,0.7079997592614315,HIGH RISK,5,Encourage automatic payment methods by offering a small billing incentive.
5129-JLPIS,0.7079997592614315,HIGH RISK,6,Promote a longer-term contract with clear financial benefits.
5129-JLPIS,0.7079997592614315,HIGH RISK,7,Focus on early customer engagement because short tenure may increase churn risk.
3655-SNQYZ,0.0886597697986842,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
3655-SNQYZ,0.0886597697986842,LOW RISK,2,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
3655-SNQYZ,0.0886597697986842,LOW RISK,3,Focus on early customer engagement because short tenure may increase churn risk.
8191-XWSZG,0.0526731528051025,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
8191-XWSZG,0.0526731528051025,LOW RISK,2,Evaluate whether the monthly cost is creating dissatisfaction.
8191-XWSZG,0.0526731528051025,LOW RISK,3,Focus on early customer engagement because short tenure may increase churn risk.
8191-XWSZG,0.0526731528051025,LOW RISK,4,Promote a longer-term contract with clear financial benefits.
9959-WOFKT,0.1053327098900925,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
9959-WOFKT,0.1053327098900925,LOW RISK,2,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
9959-WOFKT,0.1053327098900925,LOW RISK,3,Focus on early customer engagement because short tenure may increase churn risk.
4190-MFLUW,0.407721180406246,MEDIUM RISK,1,Monitor this customer closely and send a personalized retention offer.
4190-MFLUW,0.407721180406246,MEDIUM RISK,2,Offer a discount or incentive for switching to a one-year or two-year contract.
4190-MFLUW,0.407721180406246,MEDIUM RISK,3,Provide onboarding support and regular check-ins during the customer's early months.
4190-MFLUW,0.407721180406246,MEDIUM RISK,4,Focus on early customer engagement because short tenure may increase churn risk.
4190-MFLUW,0.407721180406246,MEDIUM RISK,5,Promote a longer-term contract with clear financial benefits.
4190-MFLUW,0.407721180406246,MEDIUM RISK,6,Evaluate whether the monthly cost is creating dissatisfaction.
4183-MYFRB,0.7279256409775703,HIGH RISK,1,Prioritize immediate retention outreach because this customer has a high churn risk.
4183-MYFRB,0.7279256409775703,HIGH RISK,2,Assign the customer to a proactive customer success or support representative.
4183-MYFRB,0.7279256409775703,HIGH RISK,3,Offer a discount or incentive for switching to a one-year or two-year contract.
4183-MYFRB,0.7279256409775703,HIGH RISK,4,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
4183-MYFRB,0.7279256409775703,HIGH RISK,5,Encourage automatic payment methods by offering a small billing incentive.
4183-MYFRB,0.7279256409775703,HIGH RISK,6,Focus on early customer engagement because short tenure may increase churn risk.
4183-MYFRB,0.7279256409775703,HIGH RISK,7,Promote a longer-term contract with clear financial benefits.
8779-QRDMV,0.8840534828657224,HIGH RISK,1,Prioritize immediate retention outreach because this customer has a high churn risk.
8779-QRDMV,0.8840534828657224,HIGH RISK,2,Assign the customer to a proactive customer success or support representative.
8779-QRDMV,0.8840534828657224,HIGH RISK,3,Offer a discount or incentive for switching to a one-year or two-year contract.
8779-QRDMV,0.8840534828657224,HIGH RISK,4,Provide onboarding support and regular check-ins during the customer's early months.
8779-QRDMV,0.8840534828657224,HIGH RISK,5,Encourage automatic payment methods by offering a small billing incentive.
8779-QRDMV,0.8840534828657224,HIGH RISK,6,Focus on early customer engagement because short tenure may increase churn risk.
8779-QRDMV,0.8840534828657224,HIGH RISK,7,Evaluate whether the monthly cost is creating dissatisfaction.
8779-QRDMV,0.8840534828657224,HIGH RISK,8,Promote a longer-term contract with clear financial benefits.
1680-VDCWW,0.1657979854906718,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
1680-VDCWW,0.1657979854906718,LOW RISK,2,Provide onboarding support and regular check-ins during the customer's early months.
1680-VDCWW,0.1657979854906718,LOW RISK,3,Evaluate whether the monthly cost is creating dissatisfaction.
1680-VDCWW,0.1657979854906718,LOW RISK,4,Focus on early customer engagement because short tenure may increase churn risk.
1680-VDCWW,0.1657979854906718,LOW RISK,5,Promote a longer-term contract with clear financial benefits.
1066-JKSGK,0.3956985485919376,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
1066-JKSGK,0.3956985485919376,LOW RISK,2,Offer a discount or incentive for switching to a one-year or two-year contract.
1066-JKSGK,0.3956985485919376,LOW RISK,3,Provide onboarding support and regular check-ins during the customer's early months.
1066-JKSGK,0.3956985485919376,LOW RISK,4,Focus on early customer engagement because short tenure may increase churn risk.
1066-JKSGK,0.3956985485919376,LOW RISK,5,Evaluate whether the monthly cost is creating dissatisfaction.
1066-JKSGK,0.3956985485919376,LOW RISK,6,Promote a longer-term contract with clear financial benefits.
3638-WEABW,0.0687454013099971,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
3638-WEABW,0.0687454013099971,LOW RISK,2,Focus on early customer engagement because short tenure may increase churn risk.
3638-WEABW,0.0687454013099971,LOW RISK,3,Evaluate whether the monthly cost is creating dissatisfaction.
3638-WEABW,0.0687454013099971,LOW RISK,4,Consider promoting security features that increase customer value.
6322-HRPFA,0.1259766366241526,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
6322-HRPFA,0.1259766366241526,LOW RISK,2,Offer a discount or incentive for switching to a one-year or two-year contract.
6322-HRPFA,0.1259766366241526,LOW RISK,3,Promote a longer-term contract with clear financial benefits.
6322-HRPFA,0.1259766366241526,LOW RISK,4,Focus on early customer engagement because short tenure may increase churn risk.
6322-HRPFA,0.1259766366241526,LOW RISK,5,Evaluate whether the monthly cost is creating dissatisfaction.
6865-JZNKO,0.257658888286476,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
6865-JZNKO,0.257658888286476,LOW RISK,2,Offer a discount or incentive for switching to a one-year or two-year contract.
6865-JZNKO,0.257658888286476,LOW RISK,3,Promote a longer-term contract with clear financial benefits.
6865-JZNKO,0.257658888286476,LOW RISK,4,Evaluate whether the monthly cost is creating dissatisfaction.
6865-JZNKO,0.257658888286476,LOW RISK,5,Focus on early customer engagement because short tenure may increase churn risk.
6467-CHFZW,0.6848813282115201,MEDIUM RISK,1,Monitor this customer closely and send a personalized retention offer.
6467-CHFZW,0.6848813282115201,MEDIUM RISK,2,Offer a discount or incentive for switching to a one-year or two-year contract.
6467-CHFZW,0.6848813282115201,MEDIUM RISK,3,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
6467-CHFZW,0.6848813282115201,MEDIUM RISK,4,Encourage automatic payment methods by offering a small billing incentive.
6467-CHFZW,0.6848813282115201,MEDIUM RISK,5,Promote a longer-term contract with clear financial benefits.
8665-UTDHZ,0.7067775980109638,HIGH RISK,1,Prioritize immediate retention outreach because this customer has a high churn risk.
8665-UTDHZ,0.7067775980109638,HIGH RISK,2,Assign the customer to a proactive customer success or support representative.
8665-UTDHZ,0.7067775980109638,HIGH RISK,3,Offer a discount or incentive for switching to a one-year or two-year contract.
8665-UTDHZ,0.7067775980109638,HIGH RISK,4,Provide onboarding support and regular check-ins during the customer's early months.
8665-UTDHZ,0.7067775980109638,HIGH RISK,5,Encourage automatic payment methods by offering a small billing incentive.
8665-UTDHZ,0.7067775980109638,HIGH RISK,6,Focus on early customer engagement because short tenure may increase churn risk.
8665-UTDHZ,0.7067775980109638,HIGH RISK,7,Evaluate whether the monthly cost is creating dissatisfaction.
8665-UTDHZ,0.7067775980109638,HIGH RISK,8,Promote a longer-term contract with clear financial benefits.
5248-YGIJN,0.0440807924182254,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
5248-YGIJN,0.0440807924182254,LOW RISK,2,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
5248-YGIJN,0.0440807924182254,LOW RISK,3,Focus on early customer engagement because short tenure may increase churn risk.
8773-HHUOZ,0.5518523613992578,MEDIUM RISK,1,Monitor this customer closely and send a personalized retention offer.
8773-HHUOZ,0.5518523613992578,MEDIUM RISK,2,Offer a discount or incentive for switching to a one-year or two-year contract.
8773-HHUOZ,0.5518523613992578,MEDIUM RISK,3,Focus on early customer engagement because short tenure may increase churn risk.
8773-HHUOZ,0.5518523613992578,MEDIUM RISK,4,Promote a longer-term contract with clear financial benefits.
3841-NFECX,0.0811009788323486,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
3841-NFECX,0.0811009788323486,LOW RISK,2,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
3841-NFECX,0.0811009788323486,LOW RISK,3,Focus on early customer engagement because short tenure may increase churn risk.
4929-XIHVW,0.909893422715425,HIGH RISK,1,Prioritize immediate retention outreach because this customer has a high churn risk.
4929-XIHVW,0.909893422715425,HIGH RISK,2,Assign the customer to a proactive customer success or support representative.
4929-XIHVW,0.909893422715425,HIGH RISK,3,Offer a discount or incentive for switching to a one-year or two-year contract.
4929-XIHVW,0.909893422715425,HIGH RISK,4,Provide onboarding support and regular check-ins during the customer's early months.
4929-XIHVW,0.909893422715425,HIGH RISK,5,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
4929-XIHVW,0.909893422715425,HIGH RISK,6,Focus on early customer engagement because short tenure may increase churn risk.
4929-XIHVW,0.909893422715425,HIGH RISK,7,Promote a longer-term contract with clear financial benefits.
6827-IEAUQ,0.0614021874183025,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
6827-IEAUQ,0.0614021874183025,LOW RISK,2,Focus on early customer engagement because short tenure may increase churn risk.
6827-IEAUQ,0.0614021874183025,LOW RISK,3,Promote a longer-term contract with clear financial benefits.
7310-EGVHZ,0.3845359188491334,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
7310-EGVHZ,0.3845359188491334,LOW RISK,2,Offer a discount or incentive for switching to a one-year or two-year contract.
7310-EGVHZ,0.3845359188491334,LOW RISK,3,Provide onboarding support and regular check-ins during the customer's early months.
7310-EGVHZ,0.3845359188491334,LOW RISK,4,Focus on early customer engagement because short tenure may increase churn risk.
7310-EGVHZ,0.3845359188491334,LOW RISK,5,Evaluate whether the monthly cost is creating dissatisfaction.
7310-EGVHZ,0.3845359188491334,LOW RISK,6,Promote a longer-term contract with clear financial benefits.
3413-BMNZE,0.6409740870014943,MEDIUM RISK,1,Monitor this customer closely and send a personalized retention offer.
3413-BMNZE,0.6409740870014943,MEDIUM RISK,2,Offer a discount or incentive for switching to a one-year or two-year contract.
3413-BMNZE,0.6409740870014943,MEDIUM RISK,3,Provide onboarding support and regular check-ins during the customer's early months.
3413-BMNZE,0.6409740870014943,MEDIUM RISK,4,Focus on early customer engagement because short tenure may increase churn risk.
3413-BMNZE,0.6409740870014943,MEDIUM RISK,5,Evaluate whether the monthly cost is creating dissatisfaction.
3413-BMNZE,0.6409740870014943,MEDIUM RISK,6,Promote a longer-term contract with clear financial benefits.
6234-RAAPL,0.0533696908653737,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
6234-RAAPL,0.0533696908653737,LOW RISK,2,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
6234-RAAPL,0.0533696908653737,LOW RISK,3,Focus on early customer engagement because short tenure may increase churn risk.
6047-YHPVI,0.8527246306170971,HIGH RISK,1,Prioritize immediate retention outreach because this customer has a high churn risk.
6047-YHPVI,0.8527246306170971,HIGH RISK,2,Assign the customer to a proactive customer success or support representative.
6047-YHPVI,0.8527246306170971,HIGH RISK,3,Offer a discount or incentive for switching to a one-year or two-year contract.
6047-YHPVI,0.8527246306170971,HIGH RISK,4,Provide onboarding support and regular check-ins during the customer's early months.
6047-YHPVI,0.8527246306170971,HIGH RISK,5,Encourage automatic payment methods by offering a small billing incentive.
6047-YHPVI,0.8527246306170971,HIGH RISK,6,Focus on early customer engagement because short tenure may increase churn risk.
6047-YHPVI,0.8527246306170971,HIGH RISK,7,Promote a longer-term contract with clear financial benefits.
6572-ADKRS,0.4395709932357933,MEDIUM RISK,1,Monitor this customer closely and send a personalized retention offer.
6572-ADKRS,0.4395709932357933,MEDIUM RISK,2,Offer a discount or incentive for switching to a one-year or two-year contract.
6572-ADKRS,0.4395709932357933,MEDIUM RISK,3,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
6572-ADKRS,0.4395709932357933,MEDIUM RISK,4,Promote a longer-term contract with clear financial benefits.
6572-ADKRS,0.4395709932357933,MEDIUM RISK,5,Consider promoting security features that increase customer value.
5380-WJKOV,0.7978101887684634,HIGH RISK,1,Prioritize immediate retention outreach because this customer has a high churn risk.
5380-WJKOV,0.7978101887684634,HIGH RISK,2,Assign the customer to a proactive customer success or support representative.
5380-WJKOV,0.7978101887684634,HIGH RISK,3,Offer a discount or incentive for switching to a one-year or two-year contract.
5380-WJKOV,0.7978101887684634,HIGH RISK,4,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
5380-WJKOV,0.7978101887684634,HIGH RISK,5,Encourage automatic payment methods by offering a small billing incentive.
5380-WJKOV,0.7978101887684634,HIGH RISK,6,Promote a longer-term contract with clear financial benefits.
8168-UQWWF,0.8948676282686263,HIGH RISK,1,Prioritize immediate retention outreach because this customer has a high churn risk.
8168-UQWWF,0.8948676282686263,HIGH RISK,2,Assign the customer to a proactive customer success or support representative.
8168-UQWWF,0.8948676282686263,HIGH RISK,3,Offer a discount or incentive for switching to a one-year or two-year contract.
8168-UQWWF,0.8948676282686263,HIGH RISK,4,Provide onboarding support and regular check-ins during the customer's early months.
8168-UQWWF,0.8948676282686263,HIGH RISK,5,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
8168-UQWWF,0.8948676282686263,HIGH RISK,6,Focus on early customer engagement because short tenure may increase churn risk.
8168-UQWWF,0.8948676282686263,HIGH RISK,7,Promote a longer-term contract with clear financial benefits.
8865-TNMNX,0.2851629857033787,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
8865-TNMNX,0.2851629857033787,LOW RISK,2,Provide onboarding support and regular check-ins during the customer's early months.
8865-TNMNX,0.2851629857033787,LOW RISK,3,Focus on early customer engagement because short tenure may increase churn risk.
8865-TNMNX,0.2851629857033787,LOW RISK,4,Evaluate whether the monthly cost is creating dissatisfaction.
8865-TNMNX,0.2851629857033787,LOW RISK,5,Promote a longer-term contract with clear financial benefits.
9489-DEDVP,0.0345647674999829,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
9489-DEDVP,0.0345647674999829,LOW RISK,2,Focus on early customer engagement because short tenure may increase churn risk.
9867-JCZSP,0.0829834131001776,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
9867-JCZSP,0.0829834131001776,LOW RISK,2,Evaluate whether the monthly cost is creating dissatisfaction.
9867-JCZSP,0.0829834131001776,LOW RISK,3,Focus on early customer engagement because short tenure may increase churn risk.
9867-JCZSP,0.0829834131001776,LOW RISK,4,Promote a longer-term contract with clear financial benefits.
4671-VJLCL,0.0403226237422174,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
4671-VJLCL,0.0403226237422174,LOW RISK,2,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
4671-VJLCL,0.0403226237422174,LOW RISK,3,Focus on early customer engagement because short tenure may increase churn risk.
4080-IIARD,0.4518656078704758,MEDIUM RISK,1,Monitor this customer closely and send a personalized retention offer.
4080-IIARD,0.4518656078704758,MEDIUM RISK,2,Offer a discount or incentive for switching to a one-year or two-year contract.
4080-IIARD,0.4518656078704758,MEDIUM RISK,3,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
4080-IIARD,0.4518656078704758,MEDIUM RISK,4,Encourage automatic payment methods by offering a small billing incentive.
4080-IIARD,0.4518656078704758,MEDIUM RISK,5,Focus on early customer engagement because short tenure may increase churn risk.
4080-IIARD,0.4518656078704758,MEDIUM RISK,6,Promote a longer-term contract with clear financial benefits.
3714-NTNFO,0.7538188820506071,HIGH RISK,1,Prioritize immediate retention outreach because this customer has a high churn risk.
3714-NTNFO,0.7538188820506071,HIGH RISK,2,Assign the customer to a proactive customer success or support representative.
3714-NTNFO,0.7538188820506071,HIGH RISK,3,Offer a discount or incentive for switching to a one-year or two-year contract.
3714-NTNFO,0.7538188820506071,HIGH RISK,4,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
3714-NTNFO,0.7538188820506071,HIGH RISK,5,Encourage automatic payment methods by offering a small billing incentive.
3714-NTNFO,0.7538188820506071,HIGH RISK,6,Promote a longer-term contract with clear financial benefits.
3714-NTNFO,0.7538188820506071,HIGH RISK,7,Focus on early customer engagement because short tenure may increase churn risk.
5948-UJZLF,0.5775673159353687,MEDIUM RISK,1,Monitor this customer closely and send a personalized retention offer.
5948-UJZLF,0.5775673159353687,MEDIUM RISK,2,Offer a discount or incentive for switching to a one-year or two-year contract.
5948-UJZLF,0.5775673159353687,MEDIUM RISK,3,Provide onboarding support and regular check-ins during the customer's early months.
5948-UJZLF,0.5775673159353687,MEDIUM RISK,4,Focus on early customer engagement because short tenure may increase churn risk.
5948-UJZLF,0.5775673159353687,MEDIUM RISK,5,Evaluate whether the monthly cost is creating dissatisfaction.
5948-UJZLF,0.5775673159353687,MEDIUM RISK,6,Promote a longer-term contract with clear financial benefits.
7760-OYPDY,0.891817458542899,HIGH RISK,1,Prioritize immediate retention outreach because this customer has a high churn risk.
7760-OYPDY,0.891817458542899,HIGH RISK,2,Assign the customer to a proactive customer success or support representative.
7760-OYPDY,0.891817458542899,HIGH RISK,3,Offer a discount or incentive for switching to a one-year or two-year contract.
7760-OYPDY,0.891817458542899,HIGH RISK,4,Provide onboarding support and regular check-ins during the customer's early months.
7760-OYPDY,0.891817458542899,HIGH RISK,5,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
7760-OYPDY,0.891817458542899,HIGH RISK,6,Encourage automatic payment methods by offering a small billing incentive.
7760-OYPDY,0.891817458542899,HIGH RISK,7,Focus on early customer engagement because short tenure may increase churn risk.
7760-OYPDY,0.891817458542899,HIGH RISK,8,Promote a longer-term contract with clear financial benefits.
7639-LIAYI,0.0923999681821976,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
7639-LIAYI,0.0923999681821976,LOW RISK,2,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
7639-LIAYI,0.0923999681821976,LOW RISK,3,Focus on early customer engagement because short tenure may increase churn risk.
2954-PIBKO,0.0308234779061485,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
2954-PIBKO,0.0308234779061485,LOW RISK,2,Focus on early customer engagement because short tenure may increase churn risk.
8012-SOUDQ,0.7021713592991976,HIGH RISK,1,Prioritize immediate retention outreach because this customer has a high churn risk.
8012-SOUDQ,0.7021713592991976,HIGH RISK,2,Assign the customer to a proactive customer success or support representative.
8012-SOUDQ,0.7021713592991976,HIGH RISK,3,Offer a discount or incentive for switching to a one-year or two-year contract.
8012-SOUDQ,0.7021713592991976,HIGH RISK,4,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
8012-SOUDQ,0.7021713592991976,HIGH RISK,5,Encourage automatic payment methods by offering a small billing incentive.
8012-SOUDQ,0.7021713592991976,HIGH RISK,6,Promote a longer-term contract with clear financial benefits.
9420-LOJKX,0.6803274951331726,MEDIUM RISK,1,Monitor this customer closely and send a personalized retention offer.
9420-LOJKX,0.6803274951331726,MEDIUM RISK,2,Offer a discount or incentive for switching to a one-year or two-year contract.
9420-LOJKX,0.6803274951331726,MEDIUM RISK,3,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
9420-LOJKX,0.6803274951331726,MEDIUM RISK,4,Focus on early customer engagement because short tenure may increase churn risk.
9420-LOJKX,0.6803274951331726,MEDIUM RISK,5,Promote a longer-term contract with clear financial benefits.
6575-SUVOI,0.3845625173628023,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
